final location,year,city,loc_lat,loc_lng, total_sales - igr ,total sold - igr,flat_sold - igr,office_sold - igr,others_sold - igr,shop_sold - igr,commercial_sold - igr,other_sold - igr,residential_sold - igr, flat - weighted average rate , office - weighted average rate , others - weighted average rate , shop - weighted average rate ,flat - most prevailing rate - range,office - most prevailing rate - range,others - most prevailing rate - range,shop - most prevailing rate - range,total units, total carpet area supplied (sqft) ,flat total,shop total,office total,others total
Akurdi,2020,Pune,18.6448506424618,73.7781109002116," 2,556,061,426 ",517,396,35,30,56,93,13,411,6488.33434343434,11021.1245714286,8342.85233333333,8720.74517857143,8216-9081,13242-14636,10965-12119,12671-14005,598,200147.64588,592,4,2,0
Akurdi,2021,Pune,18.6448506424618,73.7781109002116," 2,418,114,001 ",540,385,51,44,60,113,23,404,7138.9138961039,9966.32725490196,9109.57090909091,9569.0905,8768-9691,13011-14381,8509-9405,12959-14323,330,252260.2602,311,19,0,0
Akurdi,2022,Pune,18.6448506424618,73.7781109002116," 5,614,712,112 ",916,696,94,38,88,188,8,720,8392.89854885058,10785.2464893617,9519.82342105263,11006.1322727273,10699-11825,13171-14558,14404-15921,15366-16984,674,490526.45928,503,79,91,1
Akurdi,2023,Pune,18.6448506424618,73.7781109002116," 5,744,785,291 ",938,701,102,39,96,200,13,725,8773.90373751783,12975.9921568628,9699.16153846154,14383.5791666667,11032-12193,15262-16868,14001-15475,18064-19966,197,159328.62036,195,2,0,0
Akurdi,2024,Pune,18.6448506424618,73.7781109002116," 4,289,349,661 ",1090,497,77,35,481,565,19,506,8219.1161971831,11579.6732467533,10784.9648571429,4839.52444906445,10042-11099,13298-14698,19574-21635,2898-3203,666,710524.1052,383,205,60,18
Ambegaon Budruk,2020,Pune,18.4513436,73.844491,8707160246,2286,2040,19,36,191,216,3,2067,6422.52676960784,9723.18947368421,8006.74694444445,7791.07047120419,8120-8975,11940-13197,8002-8844,8850-9782,1401,762283.98324,1262,89,50,0
Ambegaon Budruk,2021,Pune,18.4513436,73.844491,10369978219,2626,2357,22,54,193,224,12,2390,6416.56939753925,11881.9922727273,7096.23462962963,8188.30533678757,8166-9026,15516-17149,7812-8634,9689-10708,1130,728944.96896,1068,39,23,0
Ambegaon Budruk,2022,Pune,18.4513436,73.844491,11107717867.2,2602,2372,21,37,172,197,,2405,6819.65041736931,11566.7833333333,9237.46,9045.41831395349,8163-9022,14944-16517,8877-9812,11116-12286,1649,953689.8618,1443,152,34,20
Ambegaon Budruk,2023,Pune,18.4513436,73.844491,10956408744,2594,2354,26,22,192,218,2,2374,6879.26225573492,9846.50576923077,8386.39772727273,10398.2028645833,8254-9123,10206-11281,11139-12311,11091-12258,1467,874486.95048,1289,152,24,2
Ambegaon Budruk,2024,Pune,18.4513436,73.844491,10401293007,2337,2017,27,21,272,300,,2037,7072.66836390679,9718.01074074074,9310.59190476191,9746.71014705882,8853-9784,10642-11763,12412-13719,10768-11901,580,1073009.98584,527,34,10,9
Aundh,2020,Pune,18.5589997632689,73.808196523964,3679634474.36,355,290,40,6,19,59,5,291,8888.99234482759,14633.82675,12255.6166666667,16129.0342105263,10074-11135,15461-17089,15076-16663,21709-23994,56,48071.37816,34,2,20,0
Aundh,2021,Pune,18.5589997632689,73.808196523964,6284100349,525,424,59,25,17,76,20,429,9366.1258490566,14735.0716949153,13266.0496,16463.8964705882,10682-11807,16177-17880,15563-17202,18289-20214,173,252727.09488,159,2,0,12
Aundh,2022,Pune,18.5589997632689,73.808196523964,8188387646,594,463,80,27,24,107,14,473,9443.87047516199,15150.742625,12722.0203703704,14803.3954166667,11102-12271,18849-20833,16415-18143,19934-22032,125,139216.194,107,1,5,12
Aundh,2023,Pune,18.5589997632689,73.808196523964,8758315373,607,496,49,24,38,87,16,504,10426.2187701613,18510.582244898,20700.9545833333,19674.2623684211,11970-13230,23286-25738,20243-22373,26173-28929,286,204964.8588,103,27,156,0
Aundh,2024,Pune,18.5589997632689,73.808196523964,8420865193,510,421,58,20,11,69,5,436,11774.0904513064,18073.2056896552,23998.5755,27718.2781818182,13773-15223,22641-25024,26401-29180,33546-37077,205,264639.18312,105,21,73,6
Wakad,2020,Pune,18.597268642605,73.7626955694936,20983019240,3521,3244,139,29,109,249,8,3264,9116.94669852035,11083.5363309353,8302.80655172414,13904.5932110092,10373-11465,13237-14630,9526-10528,18241-20161,4325,2590224.09516,3310,285,235,495
Wakad,2021,Pune,18.597268642605,73.7626955694936,30257038927,5262,4548,132,445,137,669,12,4581,9289.03893139842,12588.7200757576,11690.6593258427,13989.8119708029,10323-11410,13493-14913,12202-13486,17925-19812,5030,3197303.89992,4284,178,109,459
Wakad,2022,Pune,18.597268642605,73.7626955694936,46914473973.276,6944,6378,235,87,244,495,7,6442,9734.90657886485,11746.5673617021,11139.27,14447.9115573771,10493-11597,13269-14666,12706-14043,19844-21933,4397,3479663.85624,4220,48,68,61
Wakad,2023,Pune,18.597268642605,73.7626955694936,38810863644,5484,4614,234,479,157,839,5,4640,9959.56636540962,12505.9624786325,15267.0913569937,17318.1208280255,10479-11582,14423-15942,15948-17627,21899-24204,4471,3264490.20456,3407,101,64,899
Wakad,2024,Pune,18.597268642605,73.7626955694936,29010521107.4,3760,3232,286,59,183,501,12,3247,10277.8258261139,14213.3155244755,11367.0493220339,17000.2795081967,11032-12194,16167-17869,15075-16662,20786-22974,1814,1419304.22712,1465,57,187,105
